;;;;;;;;
;Tipo;ID;Nome Corso;;;;;
;LAVORATORE;;;;;;;
;Base;200;LAVORATORE - (ACCONCIATORI) - FORMAZIONE GENERALE E SPECIFICA - 12 ORE;;;;;
;Base;212;LAVORATORE (INGLESE) - FORMAZIONE GENERALE E SPECIFICA - RISCHIO BASSO 8 ORE;;;;;
;Base;213;LAVORATORE (SANITà) - FORMAZIONE GENERALE E SPECIFICA - RISCHIO ALTO - 16 ORE;;;;;
;Base;219;LAVORATORE (SANITÀ) - SPECIFICA - RISCHIO ALTO - 12 ORE;;;;;
;Base;263;LAVORATORE - FORMAZIONE GENERALE - 4 ORE;;;;;
;Base;264;LAVORATORE - FORMAZIONE SPECIFICA - RISCHIO BASSO - 4 ORE;;;;;
;Base;277;LAVORATORE - F. GENERALE+ SPECIFICA - RISCHIO MEDIO - 12 ORE. (COMPARTO SCUOLE);;;;;
;Base;280;CARRELLO ELEVATORE - TEORIA 8 ORE;;;;;
;Base;288;LAVORATORE - FORMAZIONE GENERALE E SPECIFICA - RISCHIO BASSO - 8 ORE;;;;;
;Base;289;FORMAZIONE SPECIFICA RISCHIO MEDIO 8 ORE (COMPARTO SCUOLE);;;;;
;Agg.;201;AGGIORNAMENTO LAVORATORE (ACCONCIATORI) - RISCHIO MEDIO - 6 ORE;;;;;
;Agg.;266;AGGIORNAMENTO LAVORATORE - RISCHIO BASSO - 6 ORE;;;;;
;Agg.;269;AGGIORNAMENTO LAVORATORE -- RISCHIO MEDIO - 6 ORE;;;;;
;Agg.;270;AGGIORNAMENTO LAVORATORE -- RISCHIO ALTO - 6 ORE;;;;;
;PREPOSTO;;;;;;;
;Base;189;PREPOSTO - BASE - 5 ORE;;;;;
;Base;191;PREPOSTO - BASE - 8 ORE;;;;;
;Agg.;279;PREPOSTO - AGGIORNAMENTO - 6 ORE;;;;;
;DIRIGENTE;;;;;;;
;Base;267;FORMAZIONE DEL DIRIGENTE - BASE - 16 ORE;;;;;
;Base;299;FORMAZIONE DEL DIRIGENTE - VERS 2025;;;;;
;Agg.;272;DIRIGENTE AGGIORNAMENTO 6 ORE;;;;;
;RSPP DL;;;;;;;
;Base;253;DATORE DI LAVORO RSPP - BASE - RISCHIO BASSO - 8 ORE;;;;;
;Base;254;DATORE DI LAVORO RSPP - BASE - RISCHIO MEDIO - 16 ORE;;;;;
;Base;255;DATORE DI LAVORO RSPP - BASE - RISCHIO ALTO - 24 ORE;;;;;
