"id","range_id","price","course_id"
"8","3","2.00","5"
"9","4","4.00","5"
"10","5","12.00","6"
"11","5","2.00","7"
"12","5","12.00","8"
"13","5","12.00","9"
"15","5","20.00","11"
"18","5","12.00","13"
"20","5","80.00","14"
"21","5","80.00","12"
"22","5","12.00","15"
"23","5","80.00","16"
"24","5","80.00","17"
"25","5","80.00","18"
"26","5","80.00","19"
"27","5","80.00","20"
"30","3","1.00","10"
"31","4","2.00","10"
"36","5","1.00","22"
"41","6","300.00","31"
"56","21","130.00","26"
"57","22","110.00","26"
"58","23","100.00","26"
"59","24","50.00","37"
"60","25","20.00","21"
"62","27","15.00","21"
"63","28","12.00","21"
"64","29","70.00","32"
"65","30","55.00","32"
"66","31","50.00","32"
"67","32","40.00","23"
"68","33","25.00","23"
"69","34","12.00","23"
"70","35","80.00","27"
"74","39","300.00","46"
"75","40","70.00","47"
"76","41","55.00","47"
"77","42","50.00","47"
"94","59","70.00","57"
"95","60","55.00","57"
"96","61","50.00","57"
"97","89","90.00","59"
"100","89","260.00","61"
"101","89","170.00","64"
"104","69","80.00","42"
"105","89","70.00","44"
"106","89","30.00","67"
"107","89","140.00","63"
"108","89","110.00","68"
"109","89","340.00","62"
"110","89","210.00","66"
"111","76","300.00","75"
"113","78","530.00","78"
"114","89","350.00","73"
"116","86","100.00","84"
"117","82","30.00","72"
"123","87","80.00","84"
"124","88","80.00","84"
"143","105","15.00","92"
"144","106","12.00","92"
"145","107","10.00","92"
"146","108","60.00","58"
"147","109","45.00","58"
"148","110","100.00","88"
"149","111","125.00","107"
"150","112","130.00","101"
"152","114","40.00","58"
"153","115","100.00","109"
"154","116","120.00","99"
"158","120","230.00","114"
"159","121","60.00","127"
"160","122","60.00","53"
"161","123","39.00","138"
"162","124","90.00","55"
"163","125","80.00","54"
"164","126","60.00","141"
"165","127","200.00","113"
"166","86","21.00","121"
"167","87","15.00","121"
"168","88","10.00","121"
"175","128","39.00","52"
"176","129","0.00","28"
"177","130","75.00","153"
"178","131","85.00","130"
"179","132","120.00","132"
"180","133","50.00","133"
"181","134","120.00","131"
"182","135","60.00","143"
"183","136","240.00","124"
"184","137","230.00","171"
"185","138","250.00","173"
"186","139","60.00","172"
"187","140","250.00","175"
"188","141","70.00","185"
"189","142","250.00","186"
"190","143","15.00","188"
"191","144","250.00","183"
"192","145","90.00","192"
"193","146","160.00","129"
"194","147","90.00","178"
"195","148","90.00","193"
"196","149","250.00","182"
"197","150","450.00","196"
"198","151","150.00","191"
"199","152","120.00","197"
"200","153","180.00","184"
"201","154","80.00","200"
"202","155","65.00","198"
"203","156","85.00","199"
"204","157","350.00","202"
"205","158","80.00","203"
"206","159","39.00","208"
"207","160","39.00","209"
"208","161","60.00","210"
"209","162","39.00","211"
"210","163","75.00","212"
"211","164","15.00","213"
"212","165","60.00","214"
"213","166","84.00","215"
"214","167","120.00","216"
"215","168","230.00","217"
"216","169","260.00","218"
"217","170","340.00","219"
"218","171","150.00","220"
"219","172","210.00","221"
"220","173","110.00","222"
"221","174","250.00","223"
"222","175","120.00","224"
"223","176","90.00","231"
"224","177","230.00","228"
"225","178","350.00","229"
"226","179","450.00","233"
"227","180","140.00","225"
"228","181","110.00","234"
"229","182","70.00","235"
"230","183","120.00","236"
"231","184","65.00","237"
"232","185","80.00","239"
"233","186","90.00","240"
"234","187","100.00","241"
"235","188","250.00","238"
"236","189","90.00","242"
"237","190","60.00","243"
"238","191","350.00","201"
"239","192","210.00","245"
"240","193","120.00","247"
"241","194","39.00","246"
"242","195","160.00","248"
"243","196","110.00","250"
"244","197","84.00","251"
"245","198","65.00","252"
"246","199","75.00","258"
"247","200","60.00","259"
"248","201","230.00","260"
"249","202","60.00","261"
"250","203","70.00","263"
"251","204","120.00","262"
"252","205","95.00","264"
"253","206","168.00","265"
"254","207","30.00","266"
"255","208","100.00","267"
"256","209","230.00","269"
"257","210","126.00","272"
"258","211","126.00","244"
"259","212","20.00","284"
"260","213","120.00","285"
"261","214","70.00","286"
"262","215","25.00","287"
"263","216","20.00","288"
"264","217","27.00","290"
"265","218","30.00","289"
"266","219","30.00","291"
"267","220","110.00","292"
"268","221","150.00","293"
"269","222","210.00","294"
"270","223","30.00","295"
"271","224","250.00","296"
"272","225","39.00","299"
"273","226","75.00","300"
"274","227","39.00","301"
