"id","title","max_execution_time","description","law_reference","course_contents","video_link","brochure_pdf_filename","server_brochure_pdf_filename","didactics","course_professors","ask_all_the_questions","percentage_correct_answer_to_pass","creation_date","owner_user_id","code","producers","ecommerce_image_filename","course_code","version","customers","max_duration","total_duration","total_elearning","external_integration","course_validity","subcategory_id","type_id","closed","deleted","custom","requirements","targets","checking"
"21","Corso Lavoratore Nuovo - 4 ore","240","<p>
	Obiettivo generale &egrave; assicurare una conoscenza di base in materia di sicurezza sui luoghi di lavoro</p>
","Decreto 81 art. 36-37 - Acc. Stato Regioni 26.01.2012","Contenuto del corso","http://www.tutor81.it/video_intro/el01.mp4",NULL,NULL,"didattica","Tutte le lezioni sono state progettate e scritte da docenti qualificati con esperienza almeno decennale nel settore di competenza. In alcuni casi i docenti sono stati sostituiti da attori per migliorare l’aspetto comunicativo.","0","80","2012-03-19 12:11:53","6","c615e259e5edb5e76017","Tutor81","1329993811lavoratore.png",,,"lavoratori nuovi assunti o non preventivamente formati almeno un anno prima del 26.1.2012","240","8-12-16 ore in base al rischio dell’attività lavorativa","4 ore","integrazione in aula a seconda del tipo di rischio: basso + 4 ore, medio + 8 ore, alto + 12 ore","aggiornamento quinquiennale","0","0","0","1","0",,,
"23","Preposto - Nuovo","180","<p>L&rsquo;obbiettivo del corso &egrave; integrare la Formazione Generale con i moduli previsti per la figura del preposto art. 37, comma 7, del D.Lgs. n. 81/08 ovvero: <strong>1. Principali soggetti del sistema di prevenzione aziendale: compiti, obblighi, responsabilita&#39;; 2. Relazioni tra i vari soggetti interni ed esterni del sistema di prevenzione; 3. Definizione e individuazione dei fattori di rischio; 4. Incidenti e infortuni mancati.</strong></p>
","articolo 37, comma 7, del D.Lgs. n. 81/08 - Acc. Stato Regioni 26.01.2012","Contenuto del corso","http://www.tutor81.it/video_intro/el02.flv","1342768834lavoratore-1.png",NULL,"Didattica Tutor81","Tutte le lezioni sono state progettate e scritte da docenti qualificati con esperienza almeno decennale nel settore di competenza. In alcuni casi i docenti sono stati sostituiti da attori per migliorare l’aspetto comunicativo.","0","80","2012-07-20 09:20:34","6","8512d249f2018dbb0558","tutor81","1342768834lavoratore-1.png",,"1","preposti nuovi assunti o non preventivamente formati almeno un anno prima del 26.1.2012","180","8","4","completare in aula con 4 ore di formazione e valutazione in presenza","aggiornamento quinquiennale","9","3","0","1","0",,,
"27","RSPP – DL nuovo rischio basso - 8 ore","6","<p>
	Nel corso sono espressi i contenuti del percorso formativo per il datore di lavoro che intende svolgere, nei casi previsti, i compiti propri del servizio di prevenzione e protezione dai rischi (di seguito DL SPP).</p>
<div>
	Le lezioni presenti nel corso tratteranno il punto 5 dell&rsquo;Accordo Stato Regioni del 26.1.2012 attraverso i primi due moduli:</div>
<div>
	MODULO 1. NORMATIVO &ndash; giuridico</div>
<div>
	MODULO 2. GESTIONALE - gestione ed organizzazione della sicurezza</div>
","Art.34, commi 2 e 3 del D.Lgs. 9 aprile 2008 n. 81, e successive modifiche e integrazioni",,,,,"Tutor81","Tutte le lezioni sono state progettate e scritte da docenti qualificati con esperienza almeno decennale nel settore di competenza. In alcuni casi i docenti sono stati sostituiti da attori per migliorare l’aspetto comunicativo.","0","80","2012-08-28 09:30:14","6","9b06001f6245f96f7bbc","Tutor81 srl","9b06001f6245f96f7bbc","EL04-8","1","Datori di Lavoro nominati Rspp","6","16 ore","8 ore","+ 8 ore per i moduli 3 e 4","aggiornamento quinquiennale","0","0","0","1","0",,,
"28","Dimostrativo Tutor81 DEMO","180","<p>Questo corso dimostra il funzionamento della piattaforma LMS TUTOR81 e le lezioni in esso contenute.</p>
","allegato II (",,,,,"TUTOR81 LMS è una piattaforma LMS con sistema di tracciamento proprietario, conforme alla normativa attualmente in vigore (Accordo Stato Regioni del 7 luglio 2016) in tema di formazione e-learning riguardante la tutela della sicurezza e della salute dei lavoratori. Ogni corso con Tutor81 è monitorato rispettando i requisiti previsti dall’Allegato 2 Accordo Stato Regioni 07.07.2016 al termine di ogni corso è quindi possibile certificare e documentare quanto segue: • Lo svolgimento e il completamento delle attività didattiche di ciascun utente • Le modalità e il superamento delle valutazioni di apprendimento • La partecipazione attiva del discente; • La tracciabilità di ogni attività svolta durante il collegamento al sistema e la durata; • La tracciabilità dell’utilizzo anche delle singole unità didattiche. la regolarità e la progressività di utilizzo del sistema da parte dell’utente; ","I relatori/docenti che hanno contribuito alla redazione dei contenuti di ciascuna unità didattica sono in possesso dei requisiti previsti dal decreto interministeriale del 6 marzo 2013 “Criteri di qualificazione della figura del formatore per la salute e sicurezza nei luoghi di lavoro”.","0","80","2012-08-28 14:26:10","6","9e09e501bac57b0cf602","Il discente ha la disponibilità dei profili di competenza per la gestione didattica e tecnica E-learning quali: • Responsabile scientifico dei corsi: • Mentor di contenuto • Sviluppatore della piattaforma • Tutor di processo ","9e09e501bac57b0cf602",,"1","DIMOSTRATIVO","180","1","4","non necessaria","aggiornamento quinquennale","8","3","1","0","0",,,"La verifica di apprendimento principale privilegiata nell’ambiente Tutor81 è la verifica in in itinere. Si tratta di test a tempo trasmessi frequentemente e con lo scopo non solo di controllare la presenza del partecipante ma di stimolarne l’attenzione. Il corsista riceve immediato riscontro alla risposta rilasciata. Ogni quesito viene tracciato dal sistema e riportato nell'attestato finale. I test sono trasmessi in modalità random, ciò significa che per la stessa domanda esistono varie alternative. In caso il risultato finale dei test, sia inferiore alla soglia minima prevista dei test corretti, l’attestato non viene generato dal sistema. Il soggetto formatore valuterà le modalità che riterrà più idonee per approfondire gli errori e rivalutarne l’apprendimento."
"29","RSPP - DL nuovo rischio medio - 16 ore","180","<p>Nel corso sono espressi i contenuti del percorso formativo per il datore di lavoro che intende svolgere, nei casi previsti, i compiti propri del servizio di prevenzione e protezione dai rischi (di seguito DL SPP).</p>

<p>Le lezioni presenti nel corso tratteranno il punto 5 dell&rsquo;Accordo Stato Regioni del 26.1.2012 attraverso i primi due moduli:</p>

<p>MODULO 1. NORMATIVO &ndash; giuridico</p>

<p>MODULO 2. GESTIONALE - gestione ed organizzazione della sicurezza</p>
","Art.34, commi 2 e 3 del D.Lgs. 9 aprile 2008 n. 81, e successive modifiche e integrazioni",,,,,"Tutor81","Tutte le lezioni sono state progettate e scritte da docenti qualificati con esperienza almeno decennale nel settore di competenza. In alcuni casi i docenti sono stati sostituiti da attori per migliorare l’aspetto comunicativo.","0","80","2012-08-29 09:45:25","6","4c8ce3eca32b8fed5c48","Tutor81 srl","4c8ce3eca32b8fed5c48",,"1","Datori di Lavoro nominati Rspp","180","32","16","+ 16 ore per i moduli 3 e 4","Aggiornamento quinquennale","11","3","0","1","0",,,
"30","RSPP - DL nuovo rischio alto - 24 ore","180","<p>Nel corso sono espressi i contenuti del percorso formativo per il datore di lavoro che intende svolgere, nei casi previsti, i compiti propri del servizio di prevenzione e protezione dai rischi (di seguito DL SPP).</p>

<p>Le lezioni presenti nel corso tratteranno il punto 5 dell&rsquo;Accordo Stato Regioni del 26.1.2012 attraverso i primi due moduli:</p>

<p>&nbsp;</p>

<p>MODULO 1. NORMATIVO &ndash; giuridico</p>

<p>&nbsp;</p>

<p>MODULO 2. GESTIONALE - gestione ed organizzazione della sicurezza</p>
","Art.34, commi 2 e 3 del D.Lgs. 9 aprile 2008 n. 81, e successive modifiche e integrazioni",,,,,"Tutor81","Tutte le lezioni sono state progettate e scritte da docenti qualificati con esperienza almeno decennale nel settore di competenza. In alcuni casi i docenti sono stati sostituiti da attori per migliorare l’aspetto comunicativo.","0","80","2012-08-29 17:50:07","6","5983c3f9b182f7ec29f3","Tutor81 srl","5983c3f9b182f7ec29f3",,"1","Datori di Lavoro nominati Rspp","180","48","24","+ 24 ore per i moduli 3 e 4","Aggiornamento quinquennale","11","3","0","1","0",,,
"32","Corso Dirigente - V.1.2","180","<p>
	La formazione dei dirigenti, cosi&#39; come definiti dall&#39;articolo 2, comma 1, lettera d), del D. Lgs. n. 81/08, in&nbsp; riferimento&nbsp; a&nbsp; quanto previsto all&#39;articolo 37,&nbsp; comma&nbsp; 7,&nbsp; del&nbsp; D.&nbsp; Lgs.&nbsp; n.&nbsp; 81/08&nbsp; e&nbsp; in relazione&nbsp; agli&nbsp; obblighi&nbsp; previsti&nbsp;&nbsp; all&#39;articolo&nbsp;&nbsp; 18&nbsp;&nbsp; sostituisce integralmente quella prevista per i lavoratori ed e&#39;&nbsp; strutturata&nbsp; in quattro moduli aventi i seguenti contenuti minimi:</p>
<p>
	<br p="""" />
	<strong>MODULO 1. GIURIDICO - NORMATIVO</strong></p>
<p>
	<strong>MODULO 2. GESTIONE ED ORGANIZZAZIONE DELLA SICUREZZA</strong></p>
<p>
	<strong>MODULO 3. INDIVIDUAZIONE E VALUTAZIONE DEI RISCHI</strong></p>
","Art. 37, comma 7, del D.Lgs. n. 81/08",,,,,"Tutor81","Tutte le lezioni sono state progettate e scritte da docenti qualificati con esperienza almeno decennale nel settore di competenza. In alcuni casi i docenti sono stati sostituiti da attori per migliorare l'aspetto comunicativo.","0","80","2012-09-24 12:21:13","6","6119a52056d96d790ec2","Tutor81 srl","6119a52056d96d790ec27a76ff5afee1ac863bfc","EL03","2","Dirigenti prima formazione","180","(16 ore)","12 ore","Non necessaria","Aggiornamento quinquennale","0","0","0","1","0",,,
"33","agg. Rspp - moduli B","180","<p>Modulo B4 del corso di aggiornamento, valido esclusivamente come parte integrante del CORSO DI aggiornamento per la FORMAZIONE dell&#39;RSPP&nbsp;</p>
","Dlgs 195/2003",,,,,"Tutor81","Tutte le lezioni sono state progettate e scritte da docenti qualificati con esperienza almeno decennale nel settore di competenza. In alcuni casi i docenti sono stati sostituiti da attori per migliorare l'aspetto comunicativo.","0","80","2012-10-01 13:19:32","6","20b0b64e9b6ac2cd00fd","TUTOR81","20b0b64e9b6ac2cd00fd525e00925ad147d198b9",,"0","RSPP aggiornamento 60 ore","180","12","12","non necessaria","quinquiennale","12","3","0","1","0",,,
"34","Dirigente ENG","180",,"Art.37, comma 7, del D.Lgs. n. 81/08",,,,,"Tutor81","All lessons have been designed and written by qualified teachers with extensive experience in the field of expertise","0","80","2012-10-16 09:27:19","6","a826ea76758951a1d1c4","Tutor81 Srl","a826ea76758951a1d1c4767f248f8096282b7340",,"00","senior management training","180","16 ore","16 ore","Not Necessary","Updating quinquennial","10","3","0","0","0",,,
"35","RLS  errore","180",,,,,,,"Tutor81","Tutte le lezioni sono state progettate e scritte da docenti qualificati con esperienza almeno decennale nel settore di competenza. In alcuni casi i docenti sono stati sostituiti da attori per migliorare l'aspetto comunicativo.","0","80","2012-10-17 17:33:21","6","1156d3ded1e78726ac88","Tutor81","1156d3ded1e78726ac88e396994080bcd9f62481","ELA07-8",,"rls aziende sopra i 50 dipendenti","180","8 ore","8 ore",,,"0","0","1","1","0",,,
