legacy_id	tutor_ovh_id	tutor_name
31607	2600	ACCADEMIA ERACLITEA
33079	2600	ACCADEMIA ERACLITEA
33197	2600	ACCADEMIA ERACLITEA
33457	588	ABI SERVIZI SRL
33636	443	MASONI CONSULTING S.r.l.
33670	443	MASONI CONSULTING S.r.l.
33684	2571	TOM FORD SPA - FORMAZIONE
33695	2600	ACCADEMIA ERACLITEA
33725	1033	CRS CONSULTING SRL
33794	1333	PROMETEO SRL
33798	588	ABI SERVIZI SRL
33799	588	ABI SERVIZI SRL
33800	588	ABI SERVIZI SRL
33853	1333	PROMETEO SRL
33928	588	ABI SERVIZI SRL
33931	1469	LUDRINI GEOM. NICOLA
33965	2571	TOM FORD SPA - FORMAZIONE
33971	588	ABI SERVIZI SRL
33973	588	ABI SERVIZI SRL
33976	588	ABI SERVIZI SRL
33977	588	ABI SERVIZI SRL
33978	1311	PARENTESIKUADRA SRL
33979	588	ABI SERVIZI SRL
33982	588	ABI SERVIZI SRL
33999	443	MASONI CONSULTING S.r.l.
34022	443	MASONI CONSULTING S.r.l.
34097	2	TUTOR 81 LMS
34110	588	ABI SERVIZI SRL
34113	588	ABI SERVIZI SRL
34114	588	ABI SERVIZI SRL
34117	588	ABI SERVIZI SRL
34130	2600	ACCADEMIA ERACLITEA
34173	2	TUTOR 81 LMS
34208	2600	ACCADEMIA ERACLITEA
34262	588	ABI SERVIZI SRL
34270	2600	ACCADEMIA ERACLITEA
34271	2600	ACCADEMIA ERACLITEA
34274	2600	ACCADEMIA ERACLITEA
34280	2600	ACCADEMIA ERACLITEA
34366	588	ABI SERVIZI SRL
34367	588	ABI SERVIZI SRL
34369	1498	7489 srls
34375	588	ABI SERVIZI SRL
34382	1333	PROMETEO SRL
34435	588	ABI SERVIZI SRL
34537	2843	SODEXO ITALIA SPA
34545	2843	SODEXO ITALIA SPA
34581	588	ABI SERVIZI SRL
34582	2600	ACCADEMIA ERACLITEA
34599	1333	PROMETEO SRL
34639	588	ABI SERVIZI SRL
34654	588	ABI SERVIZI SRL
34657	2600	ACCADEMIA ERACLITEA
34689	2	TUTOR 81 LMS
34691	1333	PROMETEO SRL
34694	588	ABI SERVIZI SRL
34696	1333	PROMETEO SRL
34703	1333	PROMETEO SRL
34764	1333	PROMETEO SRL
34770	2843	SODEXO ITALIA SPA
34798	2843	SODEXO ITALIA SPA
34803	2843	SODEXO ITALIA SPA
34818	2600	ACCADEMIA ERACLITEA
34837	1333	PROMETEO SRL
34864	1469	LUDRINI GEOM. NICOLA
34867	2571	TOM FORD SPA - FORMAZIONE
34870	1333	PROMETEO SRL
34871	588	ABI SERVIZI SRL
34877	588	ABI SERVIZI SRL
34919	1498	7489 srls
34924	1333	PROMETEO SRL
34926	1333	PROMETEO SRL
34945	2600	ACCADEMIA ERACLITEA
34951	1333	PROMETEO SRL
34954	1333	PROMETEO SRL
34965	1333	PROMETEO SRL
