id	title	description	code	is_published_in_ecommerce	creation_date
14	EL - LAVORATORE - formazione di base - generale - BLENDED - 4 ore	<p>Corso per la formazione generale del lavoratore.</p>\n	067f56a9efaffb0b37b4	0	2012-03-19 12:11:53
16	EL02 - PREPOSTO nuovo		63d6456695a25fedc6de	0	2012-07-20 09:20:34
17	EL03 - DIRIGENTE nuovo	<p>La formazione dei dirigenti, cos&igrave; come definiti dall&#39;articolo 2, comma 1, lettera d), del D. Lgs. n. 81/08, in riferimento a quanto previsto all&#39;articolo 37, comma 7, del D. Lgs. n. 81/08 e in relazione agli obblighi previsti all&#39;articolo 18 sostituisce integralmente quella prevista per i lavoratori ed e&#39; strutturata in quattro moduli aventi i seguenti contenuti minimi:</p>\n\n<p>MODULO 1. GIURIDICO - NORMATIVO</p>\n\n<p>MODULO 2. GESTIONE ED ORGANIZZAZIONE DELLA SICUREZZA</p>\n\n<p>MODULO 3. INDIVIDUAZIONE E VALUTAZIONE DEI RISCHI</p>\n\n<p>MODULO 4. COMUNICAZIONE, FORMAZIONE E CONSULTAZIONE DEI LAVORATORI</p>\n	0949a682ed0f73de2b6b	0	2012-09-03 11:48:46
24	EL04L - RSPP DL basso nuovo	<p>Nel corso sono espressi i contenuti del percorso formativo per il datore di lavoro che intende svolgere, nei casi previsti, i compiti propri del servizio di prevenzione e protezione dai rischi (di seguito DL SPP).</p>\n\n<p>Le lezioni presenti nel corso tratteranno il punto 5 dell&rsquo;Accordo Stato Regioni del 26.1.2012 attraverso i primi due moduli:</p>\n\n<p>MODULO 1. NORMATIVO &ndash; giuridico</p>\n\n<p>MODULO 2. GESTIONALE - gestione ed organizzazione della sicurezza</p>\n	af779ecbfa663e8a058b	0	2012-09-03 12:12:37
25	EL - Dimostrativo Tutor81 DEMO	<p>&nbsp;</p>\n\n<p>Obiettivo generale &egrave; assicurare una conoscenza di base in materia di sicurezza sui luoghi di lavoro</p>\n	03e73761ff5b53d6391a	0	2012-09-05 15:25:16
26	EL04M - RSPP DL medio nuovo	<p>Nel corso sono espressi i contenuti del percorso formativo per il datore di lavoro che intende svolgere, nei casi previsti, i compiti propri del servizio di prevenzione e protezione dai rischi (di seguito DL SPP).</p>\n\n<p>Le lezioni presenti nel corso tratteranno il punto 5 dell&rsquo;Accordo Stato Regioni del 26.1.2012 attraverso i primi due moduli:</p>\n\n<p>MODULO 1. NORMATIVO &ndash; giuridico</p>\n\n<p>MODULO 2. GESTIONALE - gestione ed organizzazione della sicurezza</p>\n	370484a4ac205b477219	0	2012-09-20 17:12:45
27	EL04H - RSPP DL alto nuovo	<p>Nel corso sono espressi i contenuti del percorso formativo per il datore di lavoro che intende svolgere, nei casi previsti, i compiti propri del servizio di prevenzione e protezione dai rischi (di seguito DL SPP).</p>\n\n<p>Le lezioni presenti nel corso tratteranno il punto 5 dell&rsquo;Accordo Stato Regioni del 26.1.2012 attraverso i primi due moduli:</p>\n\n<p>&nbsp;</p>\n\n<p>MODULO 1. NORMATIVO &ndash; giuridico</p>\n\n<p>&nbsp;</p>\n\n<p>MODULO 2. GESTIONALE - gestione ed organizzazione della sicurezza</p>\n	9cc682a17d929712d4c0	0	2012-09-24 17:32:47
28	EL05P02a RSPP moduli B agg.	<p>Modulo B4 del corso di aggiornamento, valido esclusivamente come parte integrante del CORSO DI aggiornamento per la FORMAZIONE dell&#39;RSPP&nbsp;</p>\n	d679d003d4b3664ea79a	0	2012-10-01 17:40:28
29	EL03us - Dirigente ENG		3b968d49ee677475c307	0	2012-10-16 18:09:37
32	EL07Ma - RLS 8 ore medio agg.	<p>Corso di aggiornamento per rappresentanti dei lavoratori per la sicurezza (rls). Il corso &egrave; suddiviso in due moduli</p>\n	24f20db2b5db36e261f7	0	2012-10-23 03:58:54
33	TESTFLV	<p>\n\tcorso con solo file .flv</p>\n	a999e7a66b5fafe6c8aa	2	2012-10-24 07:46:21
34	TESTFLV	<p>\n\tcorso con solo file .flv</p>\n	a73fb533d49ef7b365ac	2	2012-10-24 08:48:52
35	TESTFLV	<p>\n\tcorso con solo file .flv</p>\n	a05eab12bea26efe01af	2	2012-10-24 08:48:55
36	TESTFLV	<p>\n\tcorso con solo file .flv</p>\n	5edc9166439cb1a6dfcf	2	2012-10-24 08:48:59
37	EL01a - Lavoratore agg.		d53797d0f616946d5b13	0	2012-11-05 03:16:03
38	EL - RLS - AggIORNAMENTO - 4 ORE	<p>Corso di formazione destinato all&#39;RLS che necessita di un aggiornamento (Per Aziende con meno di 50 dipendenti)</p>\n	ad5c1823bf0bd0befb53	0	2012-11-06 04:01:18
39	EL07H - RLS 32 ore nuovo	<p>Cos&igrave; come previsto dall&#39;art.37 comma 10, questo corso &egrave; indirizzato ai neo nominati come rappresentanti dei lavoratori per la sicurezza, che hanno diritto ad una formazione particolare in materia di salute e sicurezza concernente i rischi specifici esistenti negli ambiti in cui esercita la propria rappresentanza, tale da ￼assicurargli adeguate competenze sulle principali tecniche di controllo e prevenzione dei rischi stessi. Il corso prevede la trattazione dei seguenti argomenti cos&igrave; come previsto dall&#39;art.37 comma 11</p>\n	7af9bf2f4fdfe8b3eee1	0	2012-11-06 04:01:21
40	EL04L - RSPP DL basso nuovo		687cf3513bcd78c39bc6	0	2012-11-13 09:08:11
41	EL04L - RSPP DL basso nuovo		95609fe237e5a0243952	0	2012-11-13 09:08:21
42	EL - LAVORATORE - formazione aggiornamento - rischio alto - 6 ORE	<p>Aggiornamento della formazione dei lavoratori in materia di salute e sicurezza sul lavoro, prevenzione e protezione, organizzazione aziendale.</p>\n\n<p><strong>Argomenti del corso</strong></p>\n\n<p>Novit&agrave; normative e approfondimenti giuridici, approccio ai rischi, organizzazione e gestione della sicurezza.</p>\n\n<p><strong>Normativa di riferimento:</strong></p>\n\n<p>articolo 37 comma 1 lettera a) del D.Lgs. 81/08 articolo 37;</p>\n\n<p>accordo tra il Ministro del lavoro e delle politiche sociali, il Ministro della salute, le Regioni e le Province autonome di Trento e Bolzano per la formazione dei lavoratori ai sensi dell&rsquo;articolo 37, comma 2, del decreto legislativo 9 aprile 2008, n. 81;</p>\n\n<p>allegato II (&quot;Requisiti e specifiche per lo svolgimento della formazione su salute e sicurezza in modalit&agrave; e-learning&quot;) e allegato V (tabella riassuntiva dei criteri della formazione rivolta ai soggetti con ruoli in materia di prevenzione) dell&#39;Accordo finalizzato	11413837255714a87210	0	2012-11-13 18:39:47
43	EL - PREPOSTO - formazione di base - BLENDED - 5 ore	<p>L&rsquo;obbiettivo del corso &egrave; integrare la Formazione Generale con i moduli previsti per la figura del preposto art. 37, comma 7, del D.Lgs. n. 81/08</p>\n	f23b7708b263226e949e	0	2012-11-13 18:40:20
44	EL - PREPOSTO - formazione aggiornamento - 6 ore	<p>L&#39;aggiornamento alla formazione aggiuntiva del preposto pu&ograve; essere svolto completamente in ELEARNING e prevede la trattazione degli argomenti previsti dall&#39;Accordo in Conferenza Stato e Regioni del 21.12.2011.</p>\n	fbfb1c9133677cb6a58a	0	2012-11-13 18:40:25
